[2026-08-05 11:48:35] [INFO] Script started. Parameter set: Rollback
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\init.ps1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\init.ps1
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\VERIFICATION.txt -> C:\Windows\Temp\chocolatey\chocoInstall\tools\VERIFICATION.txt
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\choco.exe -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\choco.exe
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\choco.exe.ignore -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\choco.exe.ignore
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\choco.exe.manifest -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\choco.exe.manifest
[2026-08-05 11:48:35] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\CREDITS.txt -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\CREDITS.txt
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\LICENSE.txt -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\LICENSE.txt
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\chocolateyInstaller.psm1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\chocolateyInstaller.psm1
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\chocolateyProfile.psm1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\chocolateyProfile.psm1
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\chocolateyScriptRunner.ps1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\chocolateyScriptRunner.ps1
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\ChocolateyTabExpansion.ps1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\ChocolateyTabExpansion.ps1
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\Format-FileSize.ps1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Format-FileSize.ps1
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\Get-CheckSumValid.ps1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-CheckSumValid.ps1
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\Get-ChocolateyPath.ps1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-ChocolateyPath.ps1
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\Get-ChocolateyUnzip.ps1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-ChocolateyUnzip.ps1
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\Get-ChocolateyWebFile.ps1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-ChocolateyWebFile.ps1
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\Get-EnvironmentVariable.ps1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-EnvironmentVariable.ps1
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\Get-EnvironmentVariableNames.ps1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-EnvironmentVariableNames.ps1
[2026-08-05 11:48:36] [INFO] Restored file: C:\Users\labuser\Documents\training\Day3\TempCleanup-Quarantine\20260805-114153-494-6276\Windows_Temp\Get-FtpFile.ps1 -> C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-FtpFile.ps1
